Time,T1,T2,Q1,Q2
541.01,48.613,32.532,60.0,0.0
542.0,48.613,32.5,60.0,0.0
543.0,48.646,32.564,60.0,0.0
544.01,48.613,32.5,60.0,0.0
545.0,48.613,32.5,60.0,0.0
546.01,48.646,32.5,60.0,0.0
547.01,48.613,32.5,60.0,0.0
548.01,48.678,32.564,60.0,0.0
549.0,48.807,32.564,60.0,0.0
550.0,48.774,32.726,60.0,0.0
551.01,48.807,32.564,60.0,0.0
552.0,48.742,32.564,60.0,0.0
553.01,48.807,32.726,60.0,0.0
554.01,48.839,32.693,60.0,0.0
555.01,48.839,32.629,60.0,0.0
556.01,48.936,32.726,60.0,0.0
557.01,48.936,32.79,60.0,0.0
558.01,48.936,32.693,60.0,0.0
559.0,48.903,32.758,60.0,0.0
560.0,48.807,32.758,60.0,0.0
561.0,48.774,32.726,60.0,0.0
562.0,48.742,32.726,60.0,0.0
563.0,48.678,32.693,60.0,0.0
564.0,48.678,32.661,60.0,0.0
565.0,48.613,32.822,60.0,0.0
566.0,48.613,32.726,60.0,0.0
567.0,48.613,32.758,60.0,0.0
568.0,48.613,32.79,60.0,0.0
569.0,48.613,32.758,60.0,0.0
570.0,48.613,32.726,60.0,0.0
571.0,48.613,32.822,60.0,0.0
572.0,48.613,32.758,60.0,0.0
573.0,48.613,32.79,60.0,0.0
574.0,48.613,32.822,60.0,0.0
575.0,48.613,32.79,60.0,0.0
576.01,48.613,32.79,60.0,0.0
577.0,48.613,32.822,60.0,0.0
578.0,48.549,32.822,60.0,0.0
579.0,48.581,32.79,60.0,0.0
580.01,48.549,32.822,60.0,0.0
581.0,48.517,32.822,60.0,0.0
582.01,48.581,32.822,60.0,0.0
583.0,48.613,32.822,60.0,0.0
584.01,48.581,32.822,60.0,0.0
585.0,48.613,32.822,60.0,0.0
586.0,48.581,32.822,60.0,0.0
587.0,48.581,32.822,60.0,0.0
588.0,48.613,32.822,60.0,0.0
589.01,48.613,32.822,60.0,0.0
590.0,48.613,32.822,60.0,0.0
591.0,48.613,32.822,60.0,0.0
592.01,48.613,32.822,60.0,0.0
593.0,48.613,32.822,60.0,0.0
594.0,48.613,32.822,60.0,0.0
595.0,48.613,32.822,60.0,0.0
596.01,48.613,32.822,60.0,0.0
597.01,48.581,32.822,60.0,0.0
598.0,48.549,32.854,60.0,0.0
599.0,48.581,32.822,60.0,0.0
600.01,48.549,32.822,60.0,0.0
601.01,48.613,32.822,60.0,0.0
602.01,48.581,32.822,60.0,0.0
603.01,48.452,32.919,60.0,0.0
604.01,48.355,32.854,60.0,0.0
605.0,48.452,32.854,60.0,0.0
606.0,48.549,32.887,60.0,0.0
607.01,48.549,32.79,60.0,0.0
608.01,48.517,32.822,60.0,0.0
609.0,48.613,32.79,60.0,0.0
610.0,48.581,33.048,60.0,0.0
611.0,48.613,33.112,60.0,0.0
612.0,48.613,33.08,60.0,0.0
613.0,48.613,33.145,60.0,0.0
614.0,48.613,33.112,60.0,0.0
615.0,48.613,33.145,60.0,0.0
616.0,48.613,33.112,60.0,0.0
617.01,48.613,33.145,60.0,0.0
618.0,48.613,33.145,60.0,0.0
619.01,48.613,33.145,60.0,0.0
620.01,48.613,33.402,60.0,60.0
621.0,48.646,33.338,60.0,60.0
622.0,48.646,33.402,60.0,60.0
623.0,48.613,33.338,60.0,60.0
624.01,48.613,33.338,60.0,60.0
625.0,48.613,33.209,60.0,60.0
626.01,48.613,33.145,60.0,60.0
627.0,48.613,33.209,60.0,60.0
628.01,48.549,33.338,60.0,60.0
629.01,48.388,33.402,60.0,60.0
630.01,48.323,33.402,60.0,60.0
631.0,48.452,33.435,60.0,60.0
632.0,48.355,33.499,60.0,60.0
633.0,48.323,33.467,60.0,60.0
634.0,48.291,33.531,60.0,60.0
635.0,48.323,33.531,60.0,60.0
636.0,48.291,33.531,60.0,60.0
637.0,48.291,33.66,60.0,60.0
638.0,48.291,33.66,60.0,60.0
639.0,48.291,33.757,60.0,60.0
640.0,48.259,33.821,60.0,60.0
641.0,48.291,33.757,60.0,60.0
642.0,48.098,33.982,60.0,60.0
643.0,48.065,33.854,60.0,60.0
644.0,48.033,33.854,60.0,60.0
645.0,48.001,34.144,60.0,60.0
646.01,48.065,34.305,60.0,60.0
